mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7679969787597656,0.2953813021105492,0.1657413959503174,0.06881370824447315,0.1,rbf,1000,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 1000}",0.8302828618968386,0.8178036605657238,0.8277870216306157,0.8211314475873545,0.8309741881765196,0.8255958359714104,0.005221971663225035,16,0.8265030164343665,0.8300395256916996,0.8256708966091117,0.8296234657790722,0.8261231281198004,0.82759200652681,0.0018520984459796561
0.6820647716522217,0.16102739586288278,0.1332986831665039,0.03460768475766697,0.1,rbf,2000,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 2000}",0.8286189683860233,0.8186356073211315,0.8277870216306157,0.8194675540765392,0.829308909242298,0.8247636121313215,0.004696065939730393,17,0.8237986270022883,0.826919076346994,0.8229665071770335,0.8260869565217391,0.8238352745424293,0.824721288318097,0.001510688785276246
0.4600559711456299,0.012006780020466996,0.09501657485961915,0.0019179851641354414,0.1,rbf,3000,"{'classifier__C': 0.1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 3000}",0.8286189683860233,0.8186356073211315,0.8277870216306157,0.8186356073211315,0.829308909242298,0.8245972227802401,0.004891440718332375,18,0.8235905970459746,0.8265030164343665,0.8223424173080923,0.825462866652798,0.8234193011647255,0.8242636397211914,0.0015039908841607884
0.41945085525512693,0.012501160082148549,0.08683862686157226,0.0009812658036275762,1,rbf,1000,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 1000}",0.8710482529118136,0.8660565723793677,0.891846921797005,0.8685524126455907,0.8834304746044963,0.8761869268676546,0.009849063757463167,2,0.9296858747659663,0.9330143540669856,0.9269814853338881,0.9273975452465155,0.9255407653910149,0.9285240049608742,0.002610025791352449
0.5234315872192383,0.07166944849603206,0.10746850967407226,0.012632324737264436,1,rbf,2000,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 2000}",0.8801996672212978,0.8627287853577371,0.8851913477537438,0.8668885191347754,0.8834304746044963,0.87568775881441,0.009121258465764824,5,0.9365508633243187,0.939879342625338,0.933430413979613,0.9338464738922405,0.9319883527454242,0.935139089313387,0.0027921559506351276
0.540683650970459,0.042857949175423814,0.11947026252746581,0.009504231248096167,1,rbf,3000,"{'classifier__C': 1, 'classifier__kernel': 'rbf', 'tfidf__max_features': 3000}",0.8810316139767055,0.8627287853577371,0.8868552412645591,0.8668885191347754,0.8834304746044963,0.8761869268676546,0.009563836765017892,2,0.9369669232369461,0.9409194924069066,0.9340545038485542,0.9355107135427502,0.9330282861896838,0.9360959838449683,0.0027548401433929596
0.5248950481414795,0.06291195374428547,0.10049982070922851,0.009365819978415216,10,rbf,1000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_features': 1000}",0.8627287853577371,0.8594009983361065,0.8768718801996672,0.8652246256239601,0.884263114071607,0.8696978807178155,0.009361798751002145,9,0.9517370501352195,0.9519450800915332,0.9484085708342002,0.9517370501352195,0.9473793677204659,0.9502414237833277,0.0019456081838604596
0.6243738651275634,0.006106996516708257,0.10094122886657715,0.0017842053588107136,10,rbf,2000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_features': 2000}",0.870216306156406,0.867720465890183,0.8801996672212978,0.8668885191347754,0.884263114071607,0.8738576144948539,0.007042557259634241,6,0.9561056792178073,0.9563137091741211,0.9529852298731017,0.9561056792178073,0.951955074875208,0.9546930744716091,0.0018455750398990902
0.6066635131835938,0.017346016260226308,0.09892497062683106,0.004072576177813424,10,rbf,3000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_features': 3000}",0.867720465890183,0.8660565723793677,0.8810316139767055,0.8668885191347754,0.8850957535387177,0.8733585849839498,0.008044949057543226,7,0.9563137091741211,0.9567297690867484,0.9534012897857291,0.9561056792178073,0.9525790349417638,0.9550258964412339,0.0016943466265438867
0.34781603813171386,0.006914582242228082,0.05852937698364258,0.0008401512144839079,0.1,linear,1000,"{'classifier__C': 0.1, 'classifier__kernel': 'linear', 'tfidf__max_features': 1000}",0.85108153078203,0.8361064891846922,0.85108153078203,0.8369384359400999,0.8484596169858452,0.8447335207349393,0.006777422470447574,13,0.8466819221967964,0.8500104014978157,0.8462658622841689,0.8518826711046391,0.8450499168053245,0.8479781547777488,0.0025519410882234726
0.37461237907409667,0.008422127945606268,0.06191310882568359,0.001869290059052685,0.1,linear,2000,"{'classifier__C': 0.1, 'classifier__kernel': 'linear', 'tfidf__max_features': 2000}",0.8494176372712147,0.8344425956738769,0.848585690515807,0.8361064891846922,0.8476269775187344,0.843235878032865,0.006546241602197519,15,0.8435614728520907,0.8473060120657374,0.8421052631578947,0.8479301019346785,0.8421381031613977,0.8446081906343599,0.002520909810169034
0.3770741939544678,0.008930345064288475,0.06153268814086914,0.0007104925885104544,0.1,linear,3000,"{'classifier__C': 0.1, 'classifier__kernel': 'linear', 'tfidf__max_features': 3000}",0.8494176372712147,0.8344425956738769,0.8494176372712147,0.8361064891846922,0.8476269775187344,0.8434022673839465,0.006689119854946841,14,0.8431454129394633,0.8473060120657374,0.841897233201581,0.8473060120657374,0.84130615640599,0.8441921653357018,0.002610882400183277
0.33038673400878904,0.0034190703124617845,0.05406365394592285,0.004357998691518172,1,linear,1000,"{'classifier__C': 1, 'classifier__kernel': 'linear', 'tfidf__max_features': 1000}",0.8718801996672213,0.8643926788685524,0.8818635607321131,0.8602329450915142,0.884263114071607,0.8725264996862017,0.009408900632778524,8,0.9028500104014978,0.9032660703141252,0.9009777407946744,0.9022259205325567,0.8993344425956739,0.9017308369277055,0.0014257950884464625
0.3723430633544922,0.004114988785103101,0.057636690139770505,0.0017897745437716345,1,linear,2000,"{'classifier__C': 1, 'classifier__kernel': 'linear', 'tfidf__max_features': 2000}",0.8818635607321131,0.8652246256239601,0.8835274542429284,0.8643926788685524,0.8850957535387177,0.8760208146012542,0.00921534670894044,4,0.9124193883919285,0.9165799875182026,0.9109631786977325,0.915539837736634,0.9116056572379367,0.9134216099164869,0.0022274763453483735
0.37276458740234375,0.006130454206727551,0.05807366371154785,0.0022224365048335647,1,linear,3000,"{'classifier__C': 1, 'classifier__kernel': 'linear', 'tfidf__max_features': 3000}",0.8810316139767055,0.8668885191347754,0.8843594009983361,0.8643926788685524,0.8884263114071607,0.877019704877106,0.009614155570545202,1,0.9153318077803204,0.9180361972123986,0.9122113584356147,0.9161639276055752,0.9120216306156406,0.9147529843299098,0.0023248844979755247
0.5939643859863282,0.07103721122506725,0.04635934829711914,0.0005266426563629726,10,linear,1000,"{'classifier__C': 10, 'classifier__kernel': 'linear', 'tfidf__max_features': 1000}",0.8527454242928453,0.8594009983361065,0.870216306156406,0.8477537437603994,0.8709408825978351,0.8602114710287184,0.00923916324232057,12,0.9197004368629083,0.9232369461202413,0.9178281672560848,0.9228208862076139,0.9168053244592346,0.9200783521812166,0.002585230017292698
0.6284911155700683,0.053749929466003335,0.05399918556213379,0.0011920526974576254,10,linear,2000,"{'classifier__C': 10, 'classifier__kernel': 'linear', 'tfidf__max_features': 2000}",0.8552412645590682,0.8560732113144759,0.872712146422629,0.8502495840266223,0.8734388009991674,0.8615430014643926,0.009627373633566229,10,0.9350946536301228,0.9382151029748284,0.9330143540669856,0.9373829831495736,0.9324043261231281,0.9352222839889276,0.0023003354941095447
0.6287288665771484,0.07473434063981038,0.053528451919555665,0.0014549963076992071,10,linear,3000,"{'classifier__C': 10, 'classifier__kernel': 'linear', 'tfidf__max_features': 3000}",0.8560732113144759,0.8502495840266223,0.8743760399334443,0.8494176372712147,0.8751040799333888,0.8610441104958293,0.0114177896558215,11,0.9361348034116913,0.9396713126690244,0.9336384439359268,0.9375910131058872,0.9336522462562395,0.9361375638757539,0.0023247497483465853
