mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__penalty,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.04700803756713867,0.0033227550243022205,0.0,0.0,0.1,l1,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.04161643981933594,0.0021282323106388843,0.0,0.0,0.1,l1,2000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 2000}",,,,,,,,10,,,,,,,
0.0412257194519043,0.002428742012404145,0.0,0.0,0.1,l1,3000,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'tfidf__max_features': 3000}",,,,,,,,10,,,,,,,
0.08677935600280762,0.024220541394401354,0.017478036880493163,0.005400640597359454,0.1,l2,1000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.8361064891846922,0.8261231281198004,0.8227953410981698,0.8169717138103162,0.832639467110741,0.8269272278647438,0.006836956052556211,7,0.8277511961722488,0.8333680049927189,0.8235905970459746,0.8294154358227585,0.8236272878535774,0.8275505043774556,0.0036995689983540907
0.11886844635009766,0.020583701473608773,0.021184778213500975,0.005258570570065512,0.1,l2,2000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 2000}",0.8344425956738769,0.8236272878535774,0.8219633943427621,0.8186356073211315,0.8334721065778518,0.82642819835384,0.0063616233299776965,8,0.8250468067401706,0.8294154358227585,0.8194299979197004,0.8277511961722488,0.8234193011647255,0.8250125475639208,0.0034810943546419075
0.0678208351135254,0.0059865436311853345,0.01365818977355957,0.0018549134099237804,0.1,l2,3000,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'tfidf__max_features': 3000}",0.8344425956738769,0.8227953410981698,0.8219633943427621,0.8153078202995009,0.8343047460449625,0.8257627794918545,0.007494686002673515,9,0.8246307468275431,0.8292074058664448,0.8183898481381319,0.8246307468275431,0.8230033277870217,0.8239724150893369,0.0034749421219830226
0.03959636688232422,0.00041457521832001157,0.0,0.0,1,l1,1000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.04086289405822754,0.0025081645200458764,0.0,0.0,1,l1,2000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 2000}",,,,,,,,10,,,,,,,
0.039771223068237306,0.0021931593048040154,0.0,0.0,1,l1,3000,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'tfidf__max_features': 3000}",,,,,,,,10,,,,,,,
0.060810422897338866,0.0026648030895827938,0.011723804473876952,0.0008048345015059686,1,l2,1000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.8743760399334443,0.8668885191347754,0.8801996672212978,0.8652246256239601,0.8817651956702748,0.8736908095167504,0.006722765877903043,2,0.8901601830663616,0.8934886623673809,0.8880798835032244,0.8918244227168712,0.8872712146422629,0.8901648732592202,0.0023031345123516
0.06371116638183594,0.0028276053002991982,0.010671091079711915,0.000644178876961783,1,l2,2000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 2000}",0.8760399334442596,0.8643926788685524,0.8793677204658902,0.8668885191347754,0.8834304746044963,0.8740238653035949,0.0072770671891721804,1,0.890576242978989,0.8939047222800083,0.8884959434158519,0.8930726024547535,0.8883111480865225,0.8908721318432251,0.002294826143041123
0.06043119430541992,0.002425349796233473,0.009874773025512696,0.00046363616197124064,1,l2,3000,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'tfidf__max_features': 3000}",0.8752079866888519,0.8652246256239601,0.8793677204658902,0.8652246256239601,0.8825978351373855,0.8735245587080096,0.0071704754745931555,3,0.8895360931974204,0.8949448720615769,0.8889120033284793,0.8928645724984398,0.8885191347753744,0.8909553351722581,0.002517384235258453
0.03750844001770019,0.0007306384312700853,0.0,0.0,10,l1,1000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 1000}",,,,,,,,10,,,,,,,
0.03316664695739746,0.0006900921059046473,0.0,0.0,10,l1,2000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 2000}",,,,,,,,10,,,,,,,
0.03289318084716797,0.0018028778420523547,0.0,0.0,10,l1,3000,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'tfidf__max_features': 3000}",,,,,,,,10,,,,,,,
0.06985940933227539,0.005956708757851814,0.009859275817871094,0.0005747265353806254,10,l2,1000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 1000}",0.870216306156406,0.8627287853577371,0.8785357737104825,0.8610648918469218,0.8867610324729392,0.8718613579088974,0.009687330741796493,6,0.9213646765134179,0.9217807364260453,0.9136675681298106,0.9209486166007905,0.9163893510815307,0.918830189750319,0.0032319479130194576
0.08708271980285645,0.002722351254379706,0.011378335952758788,0.00032943565655161526,10,l2,2000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 2000}",0.8685524126455907,0.8627287853577371,0.8785357737104825,0.8652246256239601,0.8850957535387177,0.8720274701752976,0.008461185533168611,5,0.9330143540669856,0.9346785937174953,0.9296858747659663,0.9336384439359268,0.9319883527454242,0.9326011238463596,0.0016992256396258993
0.08188714981079101,0.0074827196857492895,0.010593318939208984,0.0008781663028282195,10,l2,3000,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'tfidf__max_features': 3000}",0.8685524126455907,0.8635607321131448,0.8785357737104825,0.8668885191347754,0.8834304746044963,0.872193582441698,0.007515571229626491,4,0.9350946536301228,0.9367588932806324,0.9311420844601622,0.934886623673809,0.9330282861896838,0.9341821082468821,0.0019257181588649803
